Search Bias Report - Wed Aug 14 2024

Search Query: Donald Trump
Campaign Website: 

Position,Google,Bing,Duck Duck Go,Tusk
33,"=HYPERLINK(""https://www.nbcnewyork.com/tag/donald-trump/"",""Tag: Donald Trump – NBC New York"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://apnews.com/article/trump-vp-vance-rubio-7c7ba6b99b5f38d2d840ed95b2fdc3e5"",""Trump injured but 'fine' after attempted assassination at rally, shooter and one attendee are dead"")"
34,"=HYPERLINK(""https://m.imdb.com/name/nm0874339/"",""Donald Trump"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.biography.com/political-figures/donald-trump"",""Donald Trump: Biography, U.S. President, Businessman"")","=HYPERLINK(""https://www.cnn.com/2024/07/26/politics/trump-netanyahu-meeting-mar-a-lago/index.html"",""Trump meeting with Netanyahu for first time since departing White House | CNN Politics"")"
35,"=HYPERLINK(""https://www.axios.com/politics-policy/donald-trump"",""Donald Trump - Politics & Policy"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.nytimes.com/live/2023/03/31/nyregion/trump-indicted"",""Indictment of Donald J. Trump - The New York Times"")","=HYPERLINK(""https://www.nytimes.com/live/2024/07/13/us/biden-trump-election"",""Trump Rallies in Pennsylvania as Biden Tries to Steady His Campaign: Live Election News - The New York Times"")"
36,"=HYPERLINK(""https://www.msnbc.com/donald-trump"",""Donald Trump: News, opinion and video analysis on the 2024 ..."")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-court-ruling-immunity-election-subversion-prosecution/index.html"",""Court rules Trump does not have immunity from 2020 election ... - CNN"")","=HYPERLINK(""https://www.youtube.com/watch?v=9eZrSTQCZoc"",""WATCH LIVE: Donald Trump speaks at campaign event in Montana - YouTube"")"
37,"=HYPERLINK(""https://kids.nationalgeographic.com/history/article/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.npr.org/live-updates/trump-indictment-documents-grand-jury"",""Live updates: Trump faces 37 federal counts in the grand jury's ..."")","=HYPERLINK(""https://apnews.com/article/trump-republican-national-convention-nomination-assassination-attempt-5f1f337ac39477e9d1c53d3e027edda3"",""Trump urges unity after assassination attempt while proposing sweeping populist agenda in RNC finale"")"
38,"=HYPERLINK(""https://www.citizen-times.com/story/news/local/2024/08/14/trump-asheville-rally-republican-live-coverage/74787771007/"",""Donald Trump in Asheville: Live updates from NC rally"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-hush-money-trial-05-30-24/index.html"",""Donald Trump found guilty of all 34 charges in hush money trial"")","=HYPERLINK(""https://truthsocial.com/@realDonaldTrump"",""Donald J. Trump (@realDonaldTrump)"")"
39,"=HYPERLINK(""https://www.politico.com/news/donald-trump"",""Donald Trump: Latest News, Top Stories & Analysis"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.npr.org/live-updates/trump-indictment-arraignment-news"",""Trump indictment news: Donald Trump pleads not guilty to 2020 election ..."")","=HYPERLINK(""https://www.trump.com/"",""The Trump Organization | Luxury Real Estate Portfolio"")"
40,"=HYPERLINK(""https://projects.fivethirtyeight.com/polls/favorability/donald-trump/"",""Donald Trump : Favorability Polls | FiveThirtyEight"")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://www.whitehouse.gov/about-the-white-house/presidents/donald-j-trump/"",""Donald J. Trump | The White House"")","=HYPERLINK(""https://www.dailymail.co.uk/news/article-13684075/donald-trump-nephew-fred-book-allegations-disabled-son.html"",""Donald Trump told me my disabled son 'should just die': Former president's nephew launches tell-all memoir slamming his 'evil' family | Daily Mail Online"")"
41,"=HYPERLINK(""https://thehill.com/homenews/campaign/4827072-kamala-harris-donald-trump-discipline-honesty-survey/"",""Harris has advantage over Trump on honesty, discipline: Poll"")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.britannica.com/summary/Donald-Trump"",""Donald Trump | Summary | Britannica"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-rally-harris-election-08-14-24/index.html"",""Live updates: Trump speaks in North Carolina; Harris continues push for 2024 presidency | CNN Politics"")"
42,"=HYPERLINK(""https://www.politico.eu/article/britain-foreign-office-diplomacy-donald-trump-david-lammy-us-election/"",""What Britain's top diplomats really think of Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://www.donaldjtrump.com/?utm_soure=website"",""Home | Donald J. Trump"")","=HYPERLINK(""https://www.nbcnews.com/politics/2024-election/live-blog/trump-biden-rnc-election-live-updates-rcna161404"",""Shooter in Trump assassination attempt identified; spectator killed in attack"")"
